"codiceOrigine","codiceMeccanografico","descrizione","annoCorsoInizio","durataAnni","terminale","attivo"
"2865","TSUH","QUINQUENNIO BIOLOGICO SANITARIO - CLTE01000Q","","","NO","SI"
"2866","TSUI","QUINQUENNIO LINGUISTICO MODERNO - CLTE01000Q","","","NO","SI"
"2867","TSUL","INDIRIZZO LINGUISTICO AZIENDALE ""ERICA""","","","NO","SI"
"2868","TSUM","MODIF. FISICA SEZ. PERITI AZIENDALI-BIENNIO(P.N.I.)","","","NO","SI"
"2869","TSUT","MODIFICA MATEMATICA BIENNIO INDIRIZZO GENERALE (P.N.I.)","","","NO","SI"
"2870","TSUV","QUINQUENNIO LINGUISTICO AZIENDALE","","","NO","SI"
"2871","TSUZ","PERITI AZIENDALI SPERIMENTALE","","","NO","SI"
"2872","TT00","INDIRIZZO GENERALE","","","NO","SI"
"2884","TTAF","INDIRIZZO SPERIM.SERV.E TERZ.AVANZ.AMMINISTRAZIONE E CONTROLLO","","","NO","SI"
"3000","EE01","SCUOLA PRIMARIA","1","5","NO","SI"
"3001","MM01","SCUOLA SECONDARIA DI PRIMO GRADO","1","3","SI","SI"
"2864","TSUF","QUINQUENNIO LINGUISTICO - AQTE01000T","","","NO","SI"
"285","PCCN","BIENNIO SCIENTIFICO (B3) COMMISSIONE BROCCA","","","NO","SI"
"286","PCCP","II LINGUA STRANIERA SEZ. SCIENTIFICA (4-4-3-3-3)","","","NO","SI"
"287","PCCQ","CLASSICO AUTONOMO -TOPC040008","","","NO","SI"
"288","PCCR","PEDAGOGICO-MUSICALE - CRPC01000Q","","","NO","SI"
"289","PCCS","LINGUISTICO AUTONOMO -TOPC040008","","","NO","SI"
"290","PCCT","BIENNIO SOC.PSI. PEDAGOGICO (C3) COMMISSIONE BROCCA","","","NO","SI"
"291","PCCU","BIENNIO SCIENTIFICO/TECNOLOGICO (B1) COMMISSIONE BROCCA","","","NO","SI"
"283","PCCL","SCIENTIFICO - FGPC02003V","","","NO","SI"
"292","PCCV","QUINQUENNIO SCIENTIFICO 1 ""COMMISSIONE BROCCA""","","","NO","SI"
"293","PCCW","TRIENNIO LINGUISTICO (A 12) ""COMMISSIONE BROCCA""","","","NO","SI"
"294","PCCX","PEDAGOGICO - VIPC05000E","","","NO","SI"
"295","PCCY","IBPC03000N - SCIENTIFICO ""PROG. PILOTA""","","","NO","SI"
"296","PCCZ","CM 27 TRIENNIO PEDAGOGICO SOC.6","","","NO","SI"
"297","PCD1","TRIENNIO SOC.PS. PEDAGOGICO (C7) ""COMMISSIONE BROCCA""","","","NO","SI"
"298","PCD2","TRIENNIO SOC. PS.PEDAGOGICO (C8) ""COMMISSIONE BROCCA""","","","NO","SI"
"299","PCD3","TRIENNIO SOC.PS. PEDAGOGICO (C9) ""COMMISSIONE BROCCA""","","","NO","SI"
"300","PCD4","TRIENNIO SOC.PS. PEDAGOGICO (C10) ""COMMISSIONE BROCCA""","","","NO","SI"
"301","PCD5","TRIENNIO SOC. PS. PEDAGOGICO (C11) ""COMMISSIONE BROCCA""","","","NO","SI"
"302","PCD6","TRIENNIO SOC. PS. PEDAGOGICO (C12) ""COMMISSIONE BROCCA""","3","3","SI","SI"
"303","PCD7","TRIENNIO SCIENTIFICO (B7) ""COMMISSIONE BROCCA""","","","NO","SI"
"304","PCD8","C.M.27 TRIENNIO LINGUISTICO 12","","","NO","SI"
"305","PCD9","C.M.27 TRIENNIO LINGUISTICO 13","","","NO","SI"
"306","PCDA","TRIENNIO LINGUISTICO (A3) COMMISSIONE BROCCA","","","NO","SI"
"307","PCDB","TRIENNIO LINGUISTICO (A4) COMMISSIONE BROCCA","","","NO","SI"
"308","PCDC","TRIENNIO LINGUISTICO (A5) COMMISSIONE BROCCA","","","NO","SI"
"309","PCDD","TRIENNIO LINGUISTICO (A6) COMMISSIONE BROCCA","","","NO","SI"
"310","PCDE","TRIENNIO LINGUISTICO (A7) COMMISSIONE BROCCA","","","NO","SI"
"311","PCDF","TRIENNIO CLASSICO (A2) COMMISSIONE BROCCA","","","NO","SI"
"312","PCDG","TRIENNIO CLASSICO (A3) COMMISSIONE BROCCA","","","NO","SI"
"313","PCDH","TRIENNIO SCIENTIFICO (B3) COMMISSIONE BROCCA","","","NO","SI"
"314","PCDI","BIENNIO SOC. PS. PEDAGOGICO (C4) COMMISSIONE BROCCA","1","2","NO","SI"
"315","PCDJ","TRIENNIO LINGUISTICO (A15) ""COMMISSIONE BROCCA""","","","NO","SI"
"316","PCDK","TRIENNIO LINGUISTICO ( A 16) ""COMMISSIONE BROCCA""","","","NO","SI"
"317","PCDL","BIENNIO SOC. PS. PEDAGOGICO (C5) COMMISSIONE BROCCA","","","NO","SI"
"318","PCDM","BIENNIO LINGUISTICO (A17) COMMISSIONE BROCCA","","","NO","SI"
"319","PCDN","BIENNIO LINGUISTICO (A16) COMMISSIONE BROCCA","","","NO","SI"
"320","PCDO","BIENNIO LINGUISTICO (A15) COMMISSIONE BROCCA","","","NO","SI"
"321","PCDP","BIENNIO SCIENTIFICO (B6) COMMISSIONE BROCCA","","","NO","SI"
"322","PCDQ","BIENNIO SCIENTIFICO (B5) COMMISSIONE BROCCA","","","NO","SI"
"323","PCDR","BIENNIO SCIENTIFICO (B7) COMMISSIONE BROCCA","","","NO","SI"
"324","PCDS","C. M. 27 TRIENNIO LINGUISTICO (6)","","","NO","SI"
"325","PCDT","C. M. 27 TRIENNIO LINGUISTICO (5)","","","NO","SI"
"326","PCDU","LINGUISTICO INTERNAZIONALE - RMPC27000A","","","NO","SI"
"327","PCDV","TRIENNIO LINGUISTICO (A 17) ""COMMISSIONE BROCCA""","","","NO","SI"
"328","PCDW","TRIENNIO LINGUISTICO ( A18) ""COMMISSIONE BROCCA""","","","NO","SI"
"329","PCDX","TRIENNIO CLASSICO (A5) ""COMMISSIONE BROCCA""","","","NO","SI"
"330","PCDY","TRIENNIO CLASSICO (A6) ""COMMISSIONE BROCCA""","","","NO","SI"
"331","PCDZ","TRIENNIO CLASSICO (A7) ""COMMISSIONE BROCCA""","","","NO","SI"
"332","PCE1","C.M.27 TRIENNIO LINGUISTICO 11","","","NO","SI"
"333","PCE2","TRIENNIO SCIENTIFICO (B8) ""COMMISSIONE BROCCA""","","","NO","SI"
"334","PCE3","PEDAGOGICO AUTONOMO -RMPC060002","","","NO","SI"
"335","PCE4","C.M.27 TRIENNIO PEDAGOGICO SOC 5","","","NO","SI"
"336","PCE5","C.M.27 TRIENNIO LINGUISTICO 10","","","NO","SI"
"337","PCE6","TRIENNIO LINGUISTICO (A13) ""COMMISSIONE BROCCA""","","","NO","SI"
"338","PCE7","IBPC05000V - SOCIO PSICO PEDAGOG. ""PROG.PILOTA""","","","NO","SI"
"339","PCE8","IBPC070004 - SCIENT.LING.AZIENDALE""PROG.PILOTA""","","","NO","SI"
"340","PCE9","QUINQUENNIO SCIENTIFICO 2 ""COMMISSIONE BROCCA""","","","NO","SI"
"341","PCEA","SOCIO-PSICO-PEDAGOGICO PROTEO - VIPC04000X","","","NO","SI"
"342","PCEB","SCIENTIFICO PROTEO - VIPC04000X","","","NO","SI"
"343","PCEC","CLASSICO PROTEO - VIPC04000X","","","NO","SI"
"344","PCED","LINGUISTICO PROTEO - VIPC04000X","","","NO","SI"
"345","PCEE","TRIENNIO SOCIO PSICO PEDAGOGICO (C14)""COMM. BROCCA","","","NO","SI"
"346","PCEF","LINGUISTICO AD OPZIONE INTERNAZIONALE - LEPC01000G","","","NO","SI"
"347","PCEG","SOCIO-PSICO-PEDAGOGICO PROTEO - FEPC020005","","","NO","SI"
"348","PCEH","LINGUISTICO PROTEO - FEPC020005","","","NO","SI"
"349","PCEI","CLASSICO PROTEO - FEPC020005","","","NO","SI"
"350","PCEJ","P.N.I. FISICA (4-3-2-2 /2-2-2-2) SEZ.MAG.LE","","","NO","SI"
"351","PCEK","TRIENNIO LINGUISTICO (A20)""COMMISSIONE BROCCA""","","","NO","SI"
"352","PCEL","BIENNIO LINGUISTICO (A25)COMMISSIONE BROCCA","","","NO","SI"
"353","PCEM","BIENNIO SCIENTIFICO (B10)""COMMISSIONE BROCCA""","","","NO","SI"
