institute_name,institute_phone,institute_fax,institute_website,institute_email,institute_educational_email,institute_type,responsible_person,responsible_person_role,institute_address,institute_comune
"LICEO ""A. Maffei"" - RIVA DEL GARDA",0464/552316,0464/552316,https://e.liceomaffei.it,maffei@pec.provincia.tn.it,dir.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,VIALE  F.A. LUTTI,RIVA DEL GARDA
ISTITUTO COMPRENSIVO RONCEGNO,0461/764581,0461/771046,,,dir.icroncegno@scuole.provincia.tn.it,Pubblico,FORENZA SALVATORE,Dirigente scolastico,VIA F. MEGGIO,RONCEGNO TERME
COOPERATIVA SOCIALE A R.L. G.VERONESI - ROVERETO,0464/434047,0464/458179,www.cfpgveronesi.it,scuolaveronesi@pec.cooperazionetrentina.it,,Laico,OLIVIA OLIVO,Dirigente scolastico,VIA SAIBANTI,ROVERETO
ISTITUTO COMPRENSIVO ISERA - ROVERETO,0464/431515,0464/489616,www.isera-rovereto.it,ic.isera-rovereto@pec.provincia.tn.it,dir.ic.isera_rovereto@scuole.provincia.tn.it,Pubblico,SANTOLI GIUSEPPE,Dirigente scolastico,VIALE VITTORIA,ROVERETO
ISTITUTO COMPRENSIVO VOLANO - ROVERETO NORD,0464/433683,0464/429867,,,dir.ic.volanoroveretonord@scuole.provincia.tn.it,Pubblico,MARCHESONI GIOVANNA,Dirigente scolastico,CORSO A.BETTINI,ROVERETO
ISTITUTO COMPRENSIVO ROVERETO EST,0464/439249,0464/450456,www.istituti.vivoscuola.it/roveretoest/,ic.roveretoest@pec.provincia.tn.it,dir.ic.roveretoest@scuole.provincia.tn.it,Pubblico,CHEMOTTI TIZIANA,Dirigente scolastico,VIA DANTE,ROVERETO
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,0464/406000,0464/406077,www.arcivescoviletrento.it,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,Religioso,AGOSTINI LAMBERTO,Dirigente scolastico,CORSO BETTINI  ,ROVERETO
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO",0464/485511,0464/485550,http://www.domir.it,donmilani@pec.provincia.tn.it,dir.donmilani@scuole.provincia.tn.it,Pubblico,SIMONCELLI DANIELA,Dirigente scolastico,VIA BALISTA,ROVERETO
"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",0464/411400,0464/419130,www.marconirovereto.it,marconi@pec.provincia.tn.it,dir.itimarconi@scuole.provincia.tn.it,Pubblico,ZOLLER LAURA,Dirigente scolastico,LOC.SANT'ILARIO VIA PADRE F. MONTI,ROVERETO
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F.e G.Fontana"" - ROVERETO",0464/436100,0464/434116,www.fgfontana.eu,fontana@pec.provincia.tn.it,dir.fontana@scuole.provincia.tn.it,Pubblico,ANDREATTA FLAVIA,Dirigente scolastico,VIA DEL TEATRO,ROVERETO
"LICEO ""F.Filzi"" - ROVERETO",0464/421223,0464/433003,www.filzi.it,filzi@pec.provincia.tn.it,dir.isup.filzi@scuole.provincia.tn.it,Pubblico,OBER MARTA,Dirigente scolastico,CORSO A.ROSMINI,ROVERETO
"LICEO ""A. Rosmini"" - ROVERETO",0464/437700,0464/420025,www.liceorosmini.eu,rosmini.rovereto@pec.provincia.tn.it,dir.liceorosmini@scuole.provincia.tn.it,Pubblico,DE PASCALE FRANCESCO CARMINE,Dirigente scolastico,CORSO A. BETTINI,ROVERETO
FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE,0461/615213,0461/615273,www.fmach.it,amministrazione.cif@pec.iasma.it,,Pubblico,DAL RI MARCO,Dirigente scolastico,VIA E. MACH,SAN MICHELE ALL'ADIGE
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""",0465/686039,0465/687076,www.istitutodelchiese.it,ic.chiese-storo@pec.provincia.tn.it,dir.ic.chiese@scuole.provincia.tn.it,Pubblico,PARIS ALBERTO,Dirigente scolastico,VIA G.PAPALEONI,STORO
ISTITUTO COMPRENSIVO STRIGNO E TESINO,0461/762046,0461/763409,http.//nuke.ic-strigno-tesino.eu,ic.strignotesino@pec.provincia.tn.it,dir.ic.strignoetesino@scuole.provincia.tn.it,Pubblico,ZANON ANTONELLA,Dirigente scolastico,VIA ROMA,STRIGNO
ISTITUTO COMPRENSIVO TAIO,0463/468193,0463/467616,www.ictaio.it,ic.taio@pec.provincia.tn.it,dir.ictaio@scuole.provincia.tn.it,Pubblico,RUATTI CESARE MARINO,Dirigente scolastico,VIA DEGLI ALPINI,TAIO
