institute_name,responsible_person,responsible_person_role
"LICEO ""A. Maffei"" - RIVA DEL GARDA",ZAMBONI ANTONIA,Dirigente scolastico
ISTITUTO COMPRENSIVO RONCEGNO,FORENZA SALVATORE,Dirigente scolastico
COOPERATIVA SOCIALE A R.L. G.VERONESI - ROVERETO,OLIVIA OLIVO,Dirigente scolastico
ISTITUTO COMPRENSIVO ISERA - ROVERETO,SANTOLI GIUSEPPE,Dirigente scolastico
ISTITUTO COMPRENSIVO VOLANO - ROVERETO NORD,MARCHESONI GIOVANNA,Dirigente scolastico
ISTITUTO COMPRENSIVO ROVERETO EST,CHEMOTTI TIZIANA,Dirigente scolastico
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,AGOSTINI LAMBERTO,Dirigente scolastico
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO",SIMONCELLI DANIELA,Dirigente scolastico
"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",ZOLLER LAURA,Dirigente scolastico
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F.e G.Fontana"" - ROVERETO",ANDREATTA FLAVIA,Dirigente scolastico
"LICEO ""F.Filzi"" - ROVERETO",OBER MARTA,Dirigente scolastico
"LICEO ""A. Rosmini"" - ROVERETO",DE PASCALE FRANCESCO CARMINE,Dirigente scolastico
FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE,DAL RI MARCO,Dirigente scolastico
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""",PARIS ALBERTO,Dirigente scolastico
ISTITUTO COMPRENSIVO STRIGNO E TESINO,ZANON ANTONELLA,Dirigente scolastico
ISTITUTO COMPRENSIVO TAIO,RUATTI CESARE MARINO,Dirigente scolastico
ISTITUTO COMPRENSIVO TELVE,LUCCHIARI FRANCA,Dirigente scolastico
ISTITUTO COMPRENSIVO TESERO,PIZZARDO CANDIDA,Dirigente scolastico
ISTITUTO COMPRENSIVO TIONE,CAPRONI MAURIZIO,Dirigente scolastico
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",GULLI TIZIANA,Dirigente scolastico
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,NESLER ROMANO,Dirigente scolastico
ISTITUTO SACRA FAMIGLIA,TONELOTTO MARIA,Dirigente scolastico
ISTITUTO MARIA SS.BAMBINA - TRENTO,QUARTI MARISA,Dirigente scolastico
ISTITUTO COMPRENSIVO TRENTO 1,CETRANO NICOLA,Dirigente scolastico
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""",BOCCARDI MARIA SILVA,Dirigente scolastico
ISTITUTO COMPRENSIVO ALDENO MATTARELLO,DECARLI ANTONIETTA,Dirigente scolastico
ISTITUTO COMPRENSIVO TRENTO 4,MATTIVI VIGILIO,Dirigente scolastico
ISTITUTO COMPRENSIVO TRENTO 5,ROSA MICHELE,Dirigente scolastico
ISTITUTO COMPRENSIVO TRENTO 6,PASQUALIN PAOLA,Dirigente scolastico
ISTITUTO COMPRENSIVO TRENTO 7,KIRCHNER  STEFANO,Dirigente scolastico
ISTITUTO COMPRENSIVO TRENTO 3,MARTINELLI MARINA,Dirigente scolastico
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,RAIMONDO LEO,Dirigente scolastico
"ISTITUTO PROF.SERVIZI COMM.E TURISTICI ""L.Battisti"" - TRENTO",POIAN MARINA,Dirigente scolastico
"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",DALVIT PAOLO,Dirigente scolastico
"ISTITUTO TECNICO COMMERCIALE ""A.Tambosi"" - TRENTO",CARAMPIN FRANCESCA,Dirigente scolastico
"ISTITUTO TECNICO TECNOLOGICO ""A.Pozzo"" - TRENTO",MASSIMO ELINA,Dirigente scolastico
"LICEO ""A. Rosmini"" - TRENTO",CAROLLO MATILDE,Dirigente scolastico
"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO",DALVIT FLAVIO,Dirigente scolastico
"LICEO SCIENTIFICO ""L. Da Vinci"" - TRENTO",TOMASI ALBERTO,Dirigente scolastico
"LICEO CLASSICO ""G.Prati"" - TRENTO",PEZZO MARIA,Dirigente scolastico
"ISTITUTO DI ISTRUZIONE DELLE ARTI ""Vittoria Bonporti Depero"" - TRENTO",RASERA PAOLO,Dirigente scolastico
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,AGOSTINI LAMBERTO,Dirigente scolastico
ISTITUTO SACRO CUORE - TRENTO,DONATINI DARIO,Dirigente scolastico
ISTITUTO COMPRENSIVO TUENNO,PEGORETTI PIERA,Dirigente scolastico
ISTITUTO COMPRENSIVO VEZZANO,ANTONIOL ROSANNA,Dirigente scolastico
ISTITUTO COMPRENSIVO VIGOLO VATTARO,TURRINI SARA,Dirigente scolastico
ISTITUTO COMPRENSIVO VILLA LAGARINA,BROZ MANUELA,Dirigente scolastico
