institute_name,school_email,school_type,school_responsible_person_name,school_responsible_person_role,school_name,school_phone,school_fax,school_levelofeducation,school_timetable,school_address,school_comune,course_code,course_name
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO SCIENTIFICO,,,LICEO SCIENTIFICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,1343,SEZIONE SCIENTIFICA
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO SCIENTIFICO,,,LICEO SCIENTIFICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,3089,LICEO SCIENTIFICO
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,,,LICEO SCIENTIFICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,3090,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO DELLE SCIENZE UMANE,,,LICEO SCIENTIFICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,3091,LICEO DELLE SCIENZE UMANE
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO LINGUISTICO,,,LICEO LINGUISTICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,3093,LICEO LINGUISTICO
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO MUSICALE E COREUTICO,,,LICEO MUSICALE,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,3098,SEZIONE MUSICALE
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO CLASSICO,,,LICEO CLASSICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,135,SEZIONE CLASSICA
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO CLASSICO,,,LICEO CLASSICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,3095,LICEO CLASSICO
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO CLASSICO - Ind.Linguistico,,,LICEO CLASSICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,270,LINGUISTICO - PROGETTO PILOTA
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO CLASSICO - Ind.Scientifico,,,LICEO CLASSICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,136,SEZIONE SCIENTIFICA
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO CLASSICO - Ind.Quinq.Socio-Psico-Pedag.,,,LICEO CLASSICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,314,BIENNIO SOC. PS. PEDAGOGICO (C4) COMMISSIONE BROCCA
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,LICEO CLASSICO - Ind.Quinq.Socio-Psico-Pedag.,,,LICEO CLASSICO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,302,"TRIENNIO SOC. PS. PEDAGOGICO (C12) ""COMMISSIONE BROCCA"""
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,"LICEO SOCIO - PSICO - PEDAGOGICO "" MAFFEI""  - RIVA DEL GARDA ",,,SCUOLA SECONDARIA DI PRIMO GRADO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,302,"TRIENNIO SOC. PS. PEDAGOGICO (C12) ""COMMISSIONE BROCCA"""
"LICEO ""A. Maffei"" - RIVA DEL GARDA",segr.liceo.maffei@scuole.provincia.tn.it,Pubblico,ZAMBONI ANTONIA,Dirigente scolastico,"LICEO SOCIO - PSICO - PEDAGOGICO "" MAFFEI""  - RIVA DEL GARDA ",,,SCUOLA SECONDARIA DI PRIMO GRADO,Diurno,VIALE  F.A. LUTTI,RIVA DEL GARDA,314,BIENNIO SOC. PS. PEDAGOGICO (C4) COMMISSIONE BROCCA
ISTITUTO COMPRENSIVO RONCEGNO,segr.iscomroncegno@scuole.provincia.tn.it,Pubblico,FORENZA SALVATORE,Dirigente scolastico,SCUOLA ELEMENTARE MARTER RONCEGNO,,,SCUOLA PRIMARIA,Diurno,VIA DELLA CHIESA,RONCEGNO TERME,3000,SCUOLA PRIMARIA
ISTITUTO COMPRENSIVO RONCEGNO,segr.iscomroncegno@scuole.provincia.tn.it,Pubblico,FORENZA SALVATORE,Dirigente scolastico,SCUOLA ELEMENTARE NOVALEDO,,,SCUOLA PRIMARIA,Diurno,PIAZZA MUNICIPIO,NOVALEDO,3000,SCUOLA PRIMARIA
ISTITUTO COMPRENSIVO RONCEGNO,segr.iscomroncegno@scuole.provincia.tn.it,Pubblico,FORENZA SALVATORE,Dirigente scolastico,SCUOLA ELEMENTARE RONCEGNO,,,SCUOLA PRIMARIA,Diurno,VIA A. BALDESSARI,RONCEGNO TERME,3000,SCUOLA PRIMARIA
ISTITUTO COMPRENSIVO RONCEGNO,segr.iscomroncegno@scuole.provincia.tn.it,Pubblico,FORENZA SALVATORE,Dirigente scolastico,SCUOLA ELEMENTARE RONCHI VALSUGANA,,,SCUOLA PRIMARIA,Diurno,VIA MARCHI,RONCHI VALSUGANA,3000,SCUOLA PRIMARIA
ISTITUTO COMPRENSIVO RONCEGNO,segr.iscomroncegno@scuole.provincia.tn.it,Pubblico,FORENZA SALVATORE,Dirigente scolastico,SCUOLA MEDIA  RONCEGNO,,,SCUOLA SECONDARIA DI PRIMO GRADO,Diurno,VIA F. MEGGIO,RONCEGNO TERME,3001,SCUOLA SECONDARIA DI PRIMO GRADO
